model,params,split,mae,rmse,r2,mape_percent,directional_accuracy
LinearRegression,{},val,1.8893242947301594,3.0252317312510897,0.9998301836019655,0.044663602997346494,0.49513645711744764
Ridge,{'alpha': 0.1},val,1.8876787220253755,3.0299509175214396,0.9998296533812417,0.044624112300136194,0.4946362069923851
Ridge,{'alpha': 1.0},val,1.8923582470989981,3.0468190799539774,0.999827751414563,0.04473594624079658,0.4927463731865933
Ridge,{'alpha': 10.0},val,1.9013148508263997,3.066089906049581,0.9998255656137015,0.044950971208469484,0.493302206658885
Ridge,{'alpha': 50.0},val,1.9274240467036654,3.0989588007744144,0.9998218056474804,0.045575634129763225,0.4935801233950308
ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.2}",val,1.8887941319695098,3.0562228798831,0.9998266865066175,0.04464861556169673,0.49296870657550995
ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.2}",val,1.9017442947056864,3.0440472492645063,0.9998280646768385,0.044954125963737795,0.49341337335334334
RandomForest,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 10}",val,2.6784601044706995,4.020126729544172,0.9997001239244525,0.06398564392605934,0.2880329053415597
ExtraTrees,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 10}",val,2.704258674814159,4.068401660287692,0.999692878672303,0.06451921483832142,0.3497304207659385
Ridge+PCA95,{'alpha': 0.1},val,2.006859640198594,3.1984644643942786,0.9998101785044338,0.04746339523548172,0.4925796231449058
Ridge+PCA95,{'alpha': 1.0},val,2.0068664586497857,3.198468743550028,0.9998101779965173,0.047463550325064795,0.4925796231449058
Ridge+PCA95,{'alpha': 10.0},val,2.0069346833047725,3.1985117337290023,0.9998101728937401,0.047465102199702895,0.4925240397976766
