feature,coef_abs,coef
Close,42.725557661153985,42.725557661153985
Open,42.064409572906094,42.064409572906094
close_lag_1,36.269588608911945,36.269588608911945
Low,35.37529675906395,35.37529675906395
High,35.374420013353344,35.374420013353344
close_lag_5,7.800006186114734,7.800006186114734
Volume,7.33487868293721,7.33487868293721
Quote asset volume,7.010536128060829,-7.010536128060829
close_lag_10,6.606031725137592,6.606031725137592
Taker buy base asset volume,6.197902310544086,-6.197902310544086
Taker buy quote asset volume,5.900641792728858,5.900641792728858
oc_change_rel,3.114178602637803,3.114178602637803
